customer_id,age,gender,signup_date,contract_type,internet_service,payment_method,tenure_months,monthly_charges,total_charges,num_services,support_tickets,late_payments,satisfaction_score,last_login_days,city,churn
CUST103970,19.0,Female,2021-05-07,One year,Fiber optic,Electronic check,56,73.53,4115.39,5,2,0,9.0,20.0,Chennai,No
CUST100333,26.0,Female,2025-05-25,Two year,No internet,Credit card,7,51.36,361.49,6,3,2,5.0,20.0,Chennai,No
CUST103064,35.0,Female,2022-01-24,Month-to-month,Fiber optic,Credit card,47,56.2,2277.36,3,2,1,6.0,13.0,Chennai,No
CUST100501,49.0,Female,2021-02-05,Month-to-month,DSL,Electronic check,59,28.93,1696.61,2,1,0,7.0,19.0,Mumbai,No
CUST102092,40.0,Female,2021-03-05,Month-to-month,Fiber optic,Bank transfer,58,94.81,5287.37,7,2,1,7.0,24.0,Pune,No
CUST103253,50.0,Female,2021-10-02,Two year,DSL,Credit card,51,30.48,1503.66,3,2,0,8.0,10.0,Pune,No
CUST101477,21.0,Male,2023-06-07,Two year,Fiber optic,Bank transfer,31,68.71,2456.2,3,2,2,,15.0,Mumbai,No
CUST104449,38.0,Male,2023-01-26,Two year,Fiber optic,Electronic check,35,85.61,3001.87,6,2,1,7.0,35.0,Mumbai,No
CUST102547,62.0,Female,2025-04-17,Month-to-month,DSL,Electronic check,9,60.36,545.74,6,1,1,7.0,13.0,Chennai,No
CUST102841,51.0,Female,2021-03-31,One year,DSL,Electronic check,57,42.69,2336.07,4,3,1,6.0,6.0,Delhi,No
CUST101158,18.0,Male,2021-01-12,One year,Fiber optic,Credit card,60,52.53,3516.32,2,0,1,7.0,19.0,Delhi,No
CUST104668,60.0,,2025-08-10,Month-to-month,No internet,Electronic check,5,42.0,221.19,3,1,2,7.0,21.0,Chennai,Yes
CUST100859,46.0,Male,2025-07-23,Month-to-month,DSL,Electronic check,5,53.17,275.19,4,2,1,7.0,34.0,Mumbai,No
CUST102686,18.0,Male,2024-05-12,Two year,Fiber optic,Bank transfer,20,68.56,1434.11,5,2,4,7.0,13.0,Chennai,No
CUST104479,43.0,Female,2021-04-04,Month-to-month,DSL,Electronic check,57,50.33,2797.88,4,4,3,6.0,11.0,Bengaluru,No
CUST103570,47.0,Male,2022-02-02,Month-to-month,DSL,Mailed check,47,66.79,2707.19,5,2,0,8.0,21.0,Mumbai,No
CUST101335,60.0,Male,2021-02-24,Month-to-month,Fiber optic,Credit card,58,36.12,2044.88,1,2,1,6.0,13.0,Mumbai,No
CUST103686,23.0, female ,2023-06-08,Month-to-month,Fiber optic,Bank transfer,31,,1782.01,3,4,1,4.0,15.0,Hyderabad,No
CUST102445,69.0,Male,2021-12-19,One year,DSL,Credit card,48,31.73,1642.63,3,0,0,6.0,25.0,Bengaluru,No
CUST102536,28.0,Female,2023-03-24,Month-to-month,DSL,Electronic check,33,72.39,2489.11,7,2,0,8.0,20.0,Pune,No
CUST102083,40.0,Female,2022-03-27,Month-to-month,Fiber optic,Mailed check,45,39.59,1817.18,1,2,0,9.0,9.0,Pune,No
CUST101807,38.0,Male,2022-03-13,Month-to-month,Fiber optic,Mailed check,46,59.57,2643.64,2,3,1,6.0,36.0,Hyderabad,Yes
CUST102584,44.0,Male,2021-11-25,One year,DSL,Electronic check,49,31.83,1692.66,4,2,2,7.0,26.0,Chennai,No
CUST103630,47.0,Male,2021-11-11,One year,DSL,Electronic check,50,53.05,2752.76,3,2,1,7.0,8.0,Chennai,No
CUST104119,29.0,Male,2022-07-02,One year,Fiber optic,Credit card,42,56.24,2032.34,2,1,3,4.0,8.0,Delhi,No
CUST100296,42.0,Female,2023-11-23,Two year,Fiber optic,Electronic check,25,72.65,1734.28,4,1,2,8.0,20.0,Mumbai,No
CUST102100,41.0, female ,2022-08-30,Month-to-month,DSL,Electronic check,40,47.32,1681.43,2,3,2,5.0,11.0,Hyderabad,No
CUST101784,46.0,Female,2024-11-08,Two year,DSL,Electronic check,14,50.95,729.57,5,0,5,9.0,19.0,Mumbai,No
CUST102394,27.0,Female,2021-12-02,Two year,Fiber optic,Credit card,49,63.68,2658.99,6,3,1,7.0,18.0,Chennai,No
CUST100393,44.0,Male,2023-07-06,Month-to-month,Fiber optic,Electronic check,30,98.44,3093.56,7,2,1,6.0,10.0,Delhi,No
CUST101569,19.0,Male,2021-04-30,Month-to-month,No internet,Bank transfer,56,69.14,3976.07,7,2,1,7.0,16.0,Hyderabad,No
CUST100681,46.0,Female,2024-04-06,Two year,Fiber optic,Electronic check,21,64.02,1420.56,4,1,1,5.0,17.0,Mumbai,No
CUST102722,18.0,Female,2022-11-18,Month-to-month,Fiber optic,Electronic check,37,74.2,2827.64,5,2,0,7.0,19.0,Pune,No
CUST102357,42.0,Male,2024-03-01,Two year,DSL,Credit card,22,74.31,1621.34,5,3,3,5.0,21.0,Mumbai,No
CUST103924,38.0,Male,2021-01-09,Month-to-month,Fiber optic,Credit card,60,72.89,4263.43,4,2,1,9.0,13.0,Chennai,No
CUST102329,50.0,Male,2022-05-28,One year,DSL,Electronic check,43,53.24,2001.9,5,5,0,5.0,21.0,Hyderabad,No
CUST103347,40.0,Female,2024-04-19,Month-to-month,Fiber optic,Electronic check,20,66.57,1252.38,5,2,4,6.0,13.0,Delhi,No
CUST102895,23.0,Female,2023-03-07,One year,Fiber optic,Mailed check,34,66.06,2161.9,5,1,1,9.0,30.0,Delhi,No
CUST100079,34.0,Male,2021-09-21,Month-to-month,DSL,Electronic check,51,45.13,2314.03,4,1,1,7.0,6.0,Delhi,No
CUST100742,26.0,Female,2022-05-29,Two year,DSL,Mailed check,43,45.09,2093.95,4,2,2,7.0,10.0,Mumbai,No
CUST102653,28.0,Female,2022-04-06,One year,DSL,Electronic check,45,55.82,2757.75,4,1,1,7.0,16.0,Hyderabad,No
CUST100199,36.0,Male,2024-12-16,Month-to-month,DSL,Electronic check,13,46.91,564.51,4,3,0,6.0,9.0,Chennai,Yes
CUST104543,26.0,Male,2024-10-06,One year,Fiber optic,Electronic check,15,70.62,943.03,4,0,2,8.0,3.0,Pune,No
CUST102413,21.0,Male,2021-03-21,Two year,DSL,Electronic check,57,37.5,2455.64,3,3,1,6.0,16.0,Hyderabad,No
CUST100429,43.0,Male,2025-08-04,Month-to-month,No internet,Credit card,5,55.33,265.32,3,0,0,8.0,18.0,Pune,No
CUST103558,45.0,Female,2023-07-09,Two year,DSL,Bank transfer,30,56.21,1846.44,4,2,4,7.0,37.0,Delhi,No
CUST104851,36.0,Female,2025-03-07,One year,Fiber optic,Bank transfer,10,61.53,618.76,4,1,2,8.0,15.0,Pune,No
CUST100179,41.0,Female,2021-01-17,Two year,DSL,Electronic check,59,35.95,2255.85,3,2,0,7.0,,Hyderabad,No
CUST100065,48.0,Male,2022-09-05,One year,Fiber optic,Credit card,40,49.85,1924.37,2,1,1,9.0,7.0,Hyderabad,Yes
CUST104281,18.0,Female,2023-04-24,Month-to-month,DSL,Electronic check,32,40.6,1277.16,3,1,1,8.0,18.0,Mumbai,Yes
CUST104858,32.0,Male,2022-10-22,One year,DSL,Electronic check,38,34.52,1223.58,2,0,3,5.0,,Pune,No
CUST100764,42.0,Male,2024-11-17,Month-to-month,Fiber optic,Electronic check,13,44.57,627.83,2,1,0,7.0,39.0,Chennai,Yes
CUST102589,45.0,Male,2024-09-11,One year,No internet,Electronic check,16,33.61,486.9,2,2,1,6.0,7.0,Mumbai,Yes
CUST103049,55.0,Female,2021-11-23,One year,DSL,Electronic check,49,62.58,3310.23,6,1,4,8.0,24.0,Hyderabad,No
CUST104322,20.0,Male,2024-04-17,Two year,DSL,Credit card,20,41.76,888.36,3,1,0,7.0,12.0,Bengaluru,No
CUST100881,,Female,2023-07-23,One year,DSL,Electronic check,29,49.39,1547.36,4,1,0,8.0,6.0,Delhi,No
CUST101168,33.0,Female,2021-01-21,One year,No internet,Electronic check,59,19.45,1124.25,1,1,1,7.0,43.0,Bengaluru,No
CUST104506,47.0,Male,2024-03-14,One year,Fiber optic,Electronic check,22,72.29,1574.49,5,3,2,5.0,15.0,Mumbai,Yes
CUST103040,53.0,Female,2023-06-23,One year,Fiber optic,Bank transfer,30,73.4,2147.88,6,1,2,,27.0,Pune,No
CUST102170,28.0,Male,2021-01-08,One year,DSL,Bank transfer,60,62.78,3660.8,6,1,0,8.0,8.0,Mumbai,No
CUST103737,57.0,Male,2024-04-15,Month-to-month,Fiber optic,Bank transfer,21,101.78,2322.46,7,0,3,6.0,7.0,Delhi,No
CUST101912,45.0,Male,2025-02-28,Month-to-month,DSL,Mailed check,10,28.62,302.5,1,1,1,8.0,39.0,Hyderabad,No
CUST100029,43.0,Female,2022-01-14,Month-to-month,Fiber optic,Bank transfer,48,89.28,4843.16,6,4,1,4.0,24.0,Delhi,No
CUST100584,47.0,Male,2024-05-11,Month-to-month,Fiber optic,Credit card,20,70.66,1363.66,4,1,2,9.0,27.0,Chennai,No
CUST100472,35.0,Male,2022-07-22,One year,Fiber optic,Credit card,41,71.47,3300.73,4,1,2,9.0,17.0,Hyderabad,No
CUST100491,42.0,Male,2024-11-26,Month-to-month,DSL,Bank transfer,13,43.09,567.92,1,2,1,10.0,15.0,Hyderabad,No
CUST102974,39.0,Female,2024-12-05,Month-to-month,DSL,Electronic check,13,38.04,503.27,3,0,0,7.0,4.0,Chennai,No
CUST102121,39.0,Female,2021-02-01,One year,Fiber optic,Bank transfer,59,91.29,4483.89,6,3,0,8.0,6.0,Chennai,No
CUST102877,32.0,Male,2023-12-04,Month-to-month,Fiber optic,Credit card,25,68.9,2013.66,1,2,1,7.0,18.0,Mumbai,No
CUST100553,62.0,Female,2022-12-15,Month-to-month,Fiber optic,Credit card,37,66.18,2334.2,5,1,0,7.0,22.0,Mumbai,No
CUST100798,50.0,Male,2022-06-02,Month-to-month,Fiber optic,Bank transfer,43,49.57,1915.84,3,2,1,9.0,10.0,Chennai,No
CUST101170,24.0,Female,2023-11-12,Two year,No internet,Electronic check,26,81.22,2304.81,7,4,1,5.0,23.0,Chennai,No
CUST100724,27.0,Female,2025-03-01,Two year,Fiber optic,Mailed check,10,70.18,683.22,3,0,1,8.0,5.0,Chennai,No
CUST102487,48.0,Male,2024-02-04,Month-to-month,DSL,Credit card,23,47.25,1129.01,3,1,2,,17.0,Pune,No
CUST101212,36.0,Male,2021-05-17,Two year,DSL,Electronic check,56,39.11,2066.68,2,1,3,7.0,22.0,Pune,No
CUST101433,18.0,Male,2024-07-04,Month-to-month,Fiber optic,Mailed check,18,51.03,886.91,3,2,2,,22.0,Chennai,No
CUST103197,36.0,Male,2025-11-06,Month-to-month,DSL,Electronic check,2,40.8,84.93,4,2,2,7.0,13.0,Mumbai,Yes
CUST101181,48.0,Female,2023-02-22,Month-to-month,Fiber optic,Credit card,34,49.3,1772.94,2,1,3,7.0,15.0,Delhi,No
CUST100023,36.0,Male,2023-05-21,Month-to-month,Fiber optic,Credit card,31,89.24,2472.46,7,0,3,7.0,5.0,Bengaluru,No
CUST102259,45.0,Male,2023-04-13,Month-to-month,Fiber optic,Credit card,33,52.03,1872.76,2,3,2,5.0,11.0,Hyderabad,No
CUST103988,52.0,Male,2025-11-05,Two year,Fiber optic,Electronic check,2,39.74,85.1,1,1,1,8.0,13.0,Chennai,No
CUST100168,36.0,Female,2021-07-07,Month-to-month,Fiber optic,Credit card,54,60.92,3086.84,2,3,1,9.0,10.0,Chennai,No
CUST103605,48.0,Female,2024-09-14,Two year,DSL,Mailed check,16,28.73,417.48,1,3,1,7.0,18.0,Mumbai,No
CUST101592,36.0,Female,2023-12-17,Month-to-month,DSL,Electronic check,25,31.99,862.03,3,1,1,6.0,9.0,Mumbai,No
CUST102986,41.0,Female,2021-05-26,Month-to-month,Fiber optic,Mailed check,55,74.95,3976.89,6,1,1,8.0,12.0,Hyderabad,No
CUST104564,44.0,Male,2022-06-14,Month-to-month,Fiber optic,Bank transfer,43,86.23,3933.71,6,1,1,7.0,23.0,Chennai,No
CUST104221,45.0,Female,2025-07-25,Month-to-month,DSL,Bank transfer,5,34.81,182.44,1,0,0,8.0,14.0,Pune,No
CUST100227,61.0,Female,2024-11-07,Month-to-month,Fiber optic,Bank transfer,14,48.2,676.06,2,2,0,5.0,25.0,Mumbai,No
CUST101420,35.0,Male,2023-04-09,One year,Fiber optic,Credit card,33,80.23,2567.64,5,2,1,6.0,28.0,Pune,No
CUST104195,28.0,Female,2025-11-09,Two year,Fiber optic,Credit card,2,61.37,125.45,3,1,5,6.0,19.0,Mumbai,No
CUST102746,51.0,Male,2022-12-22,One year,Fiber optic,Bank transfer,36,87.79,2922.83,6,3,3,4.0,13.0,Bengaluru,No
CUST101532,50.0,Female,2024-09-26,Month-to-month,DSL,Bank transfer,15,28.76,500.79,2,0,1,8.0,10.0,Delhi,No
CUST103916,34.0,Female,2023-07-05,Two year,Fiber optic,Bank transfer,30,70.02,1995.98,4,1,2,6.0,20.0,Delhi,No
CUST104325,33.0,Female,2022-05-13,Two year,No internet,Credit card,44,39.11,1789.9,2,2,1,8.0,21.0,Mumbai,No
CUST100842,59.0,Male,2025-01-04,Month-to-month,Fiber optic,Bank transfer,12,25.97,263.77,1,3,2,8.0,23.0,Pune,No
CUST101305,18.0,Male,2023-11-21,Month-to-month,No internet,Bank transfer,25,59.49,1520.46,5,3,0,8.0,23.0,Hyderabad,No
CUST100240,27.0,Male,2022-10-11,Two year,DSL,Mailed check,39,53.99,2261.42,4,3,2,7.0,11.0,Bengaluru,No
CUST100084,24.0,Male,2023-07-06,One year,Fiber optic,Mailed check,30,100.42,3010.87,7,2,0,,10.0,Mumbai,Yes
CUST103164,30.0,Male,2025-09-29,Month-to-month,DSL,Credit card,3,37.06,104.75,3,2,0,8.0,14.0,Mumbai,No
CUST100807,23.0,Female,2025-06-01,Month-to-month,DSL,Credit card,7,28.51,184.91,3,0,1,6.0,34.0,Delhi,Yes
CUST104774,35.0,Female,2022-08-09,Two year,Fiber optic,Electronic check,41,50.55,2070.78,2,2,1,6.0,10.0,Chennai,No
CUST102750,43.0,Male,2025-10-31,Month-to-month,Fiber optic,Electronic check,2,,132.24,4,0,1,8.0,5.0,Delhi,No
CUST101360,33.0,Male,2024-12-17,Month-to-month,DSL,Credit card,12,20.5,241.14,1,2,2,7.0,4.0,Mumbai,No
CUST100705,26.0,Female,2025-02-11,Two year,Fiber optic,Mailed check,11,81.32,1028.27,6,3,0,5.0,14.0,Delhi,No
CUST103912,32.0,Female,2022-05-07,Two year,Fiber optic,Credit card,44,51.77,2105.71,4,1,1,7.0,31.0,Hyderabad,No
CUST100927,43.0,Male,2023-02-16,Month-to-month,Fiber optic,Credit card,34,52.23,1762.06,3,1,1,9.0,12.0,Pune,Yes
CUST100746,60.0,Female,2025-01-01,Month-to-month,DSL,Credit card,12,52.35,584.66,5,3,0,6.0,,Chennai,No
CUST102459,18.0,Male,2021-04-07,Month-to-month,DSL,Electronic check,57,54.21,2998.69,5,1,0,8.0,10.0,Bengaluru,No
CUST100157,50.0,,2024-12-27,Month-to-month,Fiber optic,Electronic check,12,71.26,942.03,4,1,1,8.0,16.0,Chennai,No
CUST101330,18.0,Male,2024-07-11,One year,Fiber optic,Electronic check,18,56.73,1166.57,3,2,2,5.0,40.0,Mumbai,No
CUST103257,58.0,Male,2024-09-28,One year,DSL,Credit card,15,61.02,997.08,5,3,0,5.0,7.0,Chennai,No
CUST101270,56.0,Female,2023-09-22,Two year,DSL,Electronic check,27,60.88,1527.54,5,2,1,8.0,36.0,Delhi,No
CUST104398,26.0,Male,2023-07-04,Month-to-month,Fiber optic,Bank transfer,30,66.32,2067.54,5,1,1,9.0,6.0,Chennai,No
CUST102992,37.0,Female,2022-08-10,Month-to-month,Fiber optic,Credit card,41,95.58,4483.8,8,1,2,7.0,23.0,Bengaluru,Yes
CUST101038,48.0,Female,2024-07-20,Month-to-month,DSL,Credit card,17,49.53,886.0,4,0,1,7.0,4.0,Pune,No
CUST104979,29.0,Female,2024-05-15,Month-to-month,DSL,Electronic check,20,61.7,1247.72,5,1,1,8.0,9.0,Delhi,No
CUST103447,50.0,Female,2023-03-27,Month-to-month,Fiber optic,Electronic check,33,68.88,1860.98,5,2,2,6.0,26.0,Mumbai,Yes
CUST100763,46.0,Male,2021-11-04,One year,DSL,Mailed check,50,44.69,2416.37,4,2,0,6.0,26.0,Hyderabad,No
CUST101444,36.0,Female,2024-10-24,One year,DSL,Bank transfer,14,41.05,555.39,1,2,1,8.0,19.0,Chennai,No
CUST103805,18.0,Female,2021-02-08,Month-to-month,Fiber optic,Credit card,59,88.28,4872.67,4,2,2,6.0,46.0,Bengaluru,No
CUST101593,29.0,Female,2024-01-16,Month-to-month,DSL,Credit card,24,74.78,1873.58,6,4,1,5.0,27.0,Mumbai,Yes
CUST101041,50.0,Male,2025-02-09,Two year,DSL,Bank transfer,11,63.59,697.84,4,2,0,7.0,9.0,Pune,No
CUST101103,44.0,Male,2022-06-12,Two year,Fiber optic,Mailed check,43,53.65,2173.41,3,4,1,6.0,41.0,Hyderabad,No
CUST102119,47.0,Female,2022-02-14,One year,Fiber optic,Credit card,47,71.56,2813.81,4,3,1,5.0,9.0,Delhi,No
CUST104231,46.0,Male,2024-05-14,Month-to-month,Fiber optic,Electronic check,20,83.83,1525.0,5,3,1,5.0,9.0,Pune,No
CUST101626,18.0,Female,2025-04-22,Month-to-month,DSL,Bank transfer,8,50.66,383.14,3,2,4,4.0,24.0,Pune,No
CUST103543,43.0,Male,2023-12-14,Month-to-month,Fiber optic,Bank transfer,25,61.96,1388.31,4,1,3,7.0,10.0,Mumbai,Yes
CUST103918,41.0,Male,2023-06-12,Month-to-month,Fiber optic,Electronic check,31,58.43,1695.54,3,1,2,7.0,13.0,Pune,No
CUST102859,27.0,Male,2021-08-29,Month-to-month,Fiber optic,Credit card,52,83.19,3487.09,4,2,0,8.0,20.0,Chennai,No
CUST103958,30.0,Male,2024-08-24,Month-to-month,Fiber optic,Bank transfer,16,50.81,797.79,3,1,1,8.0,5.0,Mumbai,No
CUST104154,30.0,Male,2023-10-15,Two year,Fiber optic,Electronic check,27,93.54,2305.77,6,2,0,6.0,7.0,Chennai,No
CUST102520,35.0,,2023-06-13,Two year,Fiber optic,Credit card,31,74.29,1688.79,5,3,2,5.0,6.0,Hyderabad,No
CUST104950,52.0,Female,2024-11-07,Month-to-month,Fiber optic,Electronic check,14,48.0,596.7,4,4,0,7.0,25.0,Delhi,No
CUST104621,37.0,Female,2025-03-16,Month-to-month,Fiber optic,Credit card,10,79.3,826.02,4,0,1,7.0,3.0,Mumbai,No
CUST103683,33.0,Female,2024-09-18,Two year,DSL,Electronic check,15,76.32,1227.99,6,2,0,5.0,9.0,Mumbai,Yes
CUST103909,20.0,Male,2025-11-26,One year,No internet,Bank transfer,1,64.39,62.87,5,0,3,5.0,9.0,Delhi,No
CUST101144,38.0,Female,2024-06-26,One year,DSL,Bank transfer,18,34.98,710.48,4,4,3,4.0,22.0,Mumbai,No
CUST104064,40.0,Female,2023-03-17,One year,No internet,Credit card,34,78.23,2907.87,4,1,0,8.0,12.0,Pune,No
CUST104967,25.0,Male,2022-01-03,One year,Fiber optic,Credit card,48,45.27,2128.16,1,1,1,7.0,18.0,Delhi,No
CUST101620,45.0,Male,2024-03-30,Month-to-month,DSL,Electronic check,21,45.08,984.06,3,2,2,4.0,13.0,Delhi,No
CUST104588,18.0,Female,2025-08-09,One year,DSL,Credit card,5,90.8,474.53,8,1,0,8.0,24.0,Bengaluru,No
CUST101192,35.0,Male,2024-02-24,One year,Fiber optic,Credit card,22,62.59,1313.82,3,2,2,7.0,31.0,Delhi,No
CUST101101,45.0,Female,2024-12-03,One year,DSL, electronic check ,13,37.8,567.58,1,2,2,7.0,30.0,Mumbai,No
CUST101978,57.0,Male,2021-06-20,One year,DSL,Credit card,54,42.77,2596.38,4,1,0,7.0,13.0,Bengaluru,No
CUST104212,45.0,Female,2024-07-23,One year,Fiber optic,Electronic check,17,68.76,1063.17,4,1,0,9.0,12.0,Bengaluru,No
CUST100422,31.0,Female,2024-06-08,One year,Fiber optic,Bank transfer,19,60.77,1222.03,4,1,3,5.0,12.0,Delhi,No
CUST100589,57.0,Female,2025-10-05,One year,Fiber optic,Credit card,3,66.65,196.61,3,2,0,7.0,18.0,Chennai,No
CUST102497,18.0,Female,2025-01-03,Month-to-month,Fiber optic,Electronic check,12,36.25,447.61,1,0,2,7.0,2.0,Mumbai,No
CUST102104,35.0,Male,2025-05-25,One year,DSL,Electronic check,7,33.5,222.18,2,1,3,4.0,16.0,Chennai,No
CUST100657,40.0,Female,2022-05-10,Month-to-month,Fiber optic,Bank transfer,44,65.1,2906.03,4,4,1,5.0,10.0,Hyderabad,No
CUST102697,40.0,Female,2024-09-24,Month-to-month,DSL,Mailed check,15,73.0,1172.79,6,0,2,8.0,7.0,Delhi,No
CUST104050,49.0,Female,2021-07-08,Two year,Fiber optic,Credit card,54,102.07,5663.32,6,1,3,8.0,6.0,Chennai,No
CUST104256,18.0,Male,2024-03-18,Month-to-month,Fiber optic,Electronic check,21,77.59,1571.28,3,2,2,9.0,18.0,Delhi,No
CUST104743,37.0,Male,2023-05-28,One year,DSL,Credit card,31,72.04,2118.65,8,4,0,7.0,12.0,Mumbai,No
CUST100426,48.0,Female,2023-05-03,One year,DSL,Credit card,32,25.08,842.61,1,1,1,8.0,55.0,Chennai,No
CUST104280,55.0,Female,2024-01-06,Month-to-month,Fiber optic,Credit card,24,67.73,1687.15,5,1,0,8.0,17.0,Pune,No
CUST104817,36.0,Female,2021-10-21,Month-to-month,Fiber optic,Credit card,50,79.55,3574.98,5,2,2,5.0,12.0,Pune,No
CUST102907,38.0,Female,2024-12-21,Month-to-month,Fiber optic,Electronic check,12,66.91,908.04,4,3,2,6.0,15.0,Mumbai,Yes
CUST103184,46.0,Male,2024-01-26,One year,No internet,Electronic check,23,71.72,1652.52,6,0,2,8.0,24.0,Bengaluru,No
CUST101769,72.0,Female,2021-08-04,One year,Fiber optic,Electronic check,53,66.66,3101.02,3,1,1,7.0,23.0,Chennai,No
CUST102656,41.0,Female,2023-04-15,One year,Fiber optic,Bank transfer,33,65.37,1988.11,3,1,1,6.0,22.0,Delhi,No
CUST103409,38.0,Female,2022-05-30,Two year,No internet,Credit card,43,41.51,1729.36,2,1,2,5.0,13.0,Bengaluru,No
CUST104983,61.0,Female,2021-08-16,Month-to-month,Fiber optic,Bank transfer,53,70.37,3698.86,3,3,2,5.0,7.0,Bengaluru,No
CUST102753,39.0,Female,2025-11-14,One year,DSL,Electronic check,2,20.64,40.74,2,2,1,6.0,27.0,Hyderabad,No
CUST101943,18.0,Male,2024-05-05,One year,Fiber optic,Bank transfer,20,79.42,1565.32,6,3,0,,16.0,Bengaluru,No
CUST101833,43.0,Female,2023-04-01,One year,DSL,Bank transfer,33,60.08,1894.07,3,2,1,7.0,,Bengaluru,No
CUST100008,38.0,Female,2022-02-21,One year,DSL,Electronic check,46,55.63,2787.88,6,3,0,7.0,10.0,Delhi,No
CUST102927,41.0,Female,2025-04-08,One year,DSL,Electronic check,9,56.31,529.01,5,2,0,9.0,10.0,Bengaluru,No
CUST104140,36.0,Male,2022-06-05,One year,No internet,Mailed check,43,32.59,1395.05,3,0,0,8.0,21.0,,No
CUST103360,37.0,Male,2025-05-12,Month-to-month,DSL,Credit card,8,93.77,696.9,6,0,4,8.0,28.0,Chennai,Yes
CUST100751,34.0,Male,2022-09-12,Month-to-month,No internet,Credit card,40,37.22,1439.87,3,0,1,9.0,7.0,Mumbai,No
CUST103130,46.0,Male,2025-10-01,One year,No internet,Electronic check,3,53.61,157.66,5,2,4,4.0,14.0,Delhi,No
CUST100144,28.0,Male,2021-11-21,Month-to-month,Fiber optic,Bank transfer,49,56.92,2803.51,1,3,0,7.0,38.0,Chennai,No
CUST100670,47.0,Female,2025-03-08,Month-to-month,Fiber optic,Bank transfer,10,56.19,574.42,4,2,1,6.0,11.0,Delhi,No
CUST102291,52.0,Male,2023-10-08,One year,Fiber optic,Credit card,27,60.57,1713.27,4,1,1,7.0,5.0,Chennai,No
CUST103066,41.0,Male,2024-10-24,Month-to-month,Fiber optic,Bank transfer,14,46.45,737.45,2,1,1,7.0,12.0,Chennai,No
CUST104295,43.0,Male,2021-03-25,Month-to-month,DSL,Electronic check,57,57.25,3257.88,4,0,1,7.0,15.0,Hyderabad,No
CUST104180,52.0,Male,2023-03-30,Month-to-month,DSL,Electronic check,33,42.77,1273.23,3,2,2,8.0,8.0,Chennai,No
CUST100151,26.0,Female,2021-06-28,One year,DSL,Electronic check,54,47.51,2426.76,2,1,1,8.0,6.0,Hyderabad,No
CUST103784,60.0,Male,2023-10-15,Month-to-month,Fiber optic,Bank transfer,27,64.86,1927.48,4,1,0,10.0,46.0,Mumbai,No
CUST103894,46.0,Female,2021-03-19,One year,DSL,Electronic check,57,41.31,2172.87,2,2,2,6.0,17.0,Bengaluru,No
CUST102456,50.0,Male,2022-07-16,One year,DSL,Electronic check,42,71.09,2954.63,7,1,1,8.0,22.0,Mumbai,No
CUST101788,42.0,Male,2022-02-27,One year,No internet,Mailed check,46,34.38,1705.16,2,2,3,4.0,10.0,Mumbai,No
CUST102447,33.0,Female,2024-06-07,Month-to-month,Fiber optic,Mailed check,19,91.33,1881.27,8,4,0,6.0,25.0,Bengaluru,No
CUST104993,30.0,Male,2023-05-09,Month-to-month,DSL, electronic check ,32,41.89,1364.76,4,0,1,7.0,20.0,Hyderabad,No
CUST104342,37.0,Male,2023-09-21,Two year,Fiber optic,Credit card,27,83.64,2539.69,6,1,0,7.0,10.0,Mumbai,No
CUST103889,29.0,Male,2023-02-24,Month-to-month,No internet,Bank transfer,34,26.73,851.25,2,0,0,9.0,8.0,Pune,No
CUST100561,42.0,Male,2021-10-03,Month-to-month,DSL,Electronic check,51,43.7,2535.39,3,0,0,8.0,26.0,Mumbai,No
